school_year,division_number,division_name,level,test_level,pass_count,total_count,pass_rate,test_year,grade,demographic,max_grade,years_from_end,cohort,division_use,region,division,mean_rate,direction,average,demographic_use,level_use
2013-2014,98,York County,White,Grade 3,454,584,77.74,2014,3,Race,8,5,2019,york_county,Region 2 – Tidewater,York County,67.44,1,74.97,race,white
2014-2015,1,Accomack County,White,Grade 4,120,146,82.19,2015,4,Race,8,4,2019,accomack_county,Region 2 – Tidewater,Accomack County,63.525,1,66.57,race,white
2014-2015,2,Albemarle County,White,Grade 4,570,684,83.33,2015,4,Race,8,4,2019,albemarle_county,Region 5 – Valley,Albemarle County,61.665,1,76.36,race,white
2014-2015,101,Alexandria City,White,Grade 4,281,306,91.83,2015,4,Race,8,4,2019,alexandria_city,Region 4 – Northern Virginia,Alexandria City,75.14,1,66.93,race,white
2014-2015,3,Alleghany County,White,Grade 4,104,140,74.29,2015,4,Race,8,4,2019,alleghany_county,Region 6 – Western Virginia,Alleghany County,74.29,1,70.73,race,white
2014-2015,4,Amelia County,White,Grade 4,70,84,83.33,2015,4,Race,8,4,2019,amelia_county,Region 8 – Southside,Amelia County,66.66499999999999,1,73.73,race,white
2014-2015,5,Amherst County,White,Grade 4,177,225,78.67,2015,4,Race,8,4,2019,amherst_county,Region 5 – Valley,Amherst County,70.58500000000001,1,75.99,race,white
2014-2015,6,Appomattox County,White,Grade 4,88,101,87.13,2015,4,Race,8,4,2019,appomattox_county,Region 8 – Southside,Appomattox County,82.96000000000001,1,85.52,race,white
2014-2015,7,Arlington County,White,Grade 4,978,1027,95.23,2015,4,Race,8,4,2019,arlington_county,Region 4 – Northern Virginia,Arlington County,82.28,1,86.43,race,white
2014-2015,8,Augusta County,White,Grade 4,525,704,74.57,2015,4,Race,8,4,2019,augusta_county,Region 5 – Valley,Augusta County,74.57,1,73.21,race,white
2014-2015,9,Bath County,White,Grade 4,27,35,77.14,2015,4,Race,8,4,2019,bath_county,Region 5 – Valley,Bath County,77.14,1,77.14,race,white
2014-2015,10,Bedford County,White,Grade 4,457,572,79.9,2015,4,Race,8,4,2019,bedford_county,Region 5 – Valley,Bedford County,61.005,1,76.38,race,white
2014-2015,11,Bland County,White,Grade 4,54,66,81.82,2015,4,Race,8,4,2019,bland_county,Region 7 – Southwest,Bland County,81.82,1,82.09,race,white
2014-2015,12,Botetourt County,White,Grade 4,256,299,85.62,2015,4,Race,8,4,2019,botetourt_county,Region 6 – Western Virginia,Botetourt County,85.62,1,84.55,race,white
2014-2015,102,Bristol City,White,Grade 4,116,147,78.91,2015,4,Race,8,4,2019,bristol_city,Region 7 – Southwest,Bristol City,78.91,1,78.05,race,white
2014-2015,13,Brunswick County,White,Grade 4,21,30,70,2015,4,Race,8,4,2019,brunswick_county,Region 8 – Southside,Brunswick County,71.84,-1,70,race,white
2014-2015,14,Buchanan County,White,Grade 4,152,202,75.25,2015,4,Race,8,4,2019,buchanan_county,Region 7 – Southwest,Buchanan County,75.25,1,75.25,race,white
2014-2015,15,Buckingham County,White,Grade 4,62,77,80.52,2015,4,Race,8,4,2019,buckingham_county,Region 8 – Southside,Buckingham County,66.575,1,70.2,race,white
2014-2015,103,Buena Vista City,White,Grade 4,41,67,61.19,2015,4,Race,8,4,2019,buena_vista_city,Region 5 – Valley,Buena Vista City,61.19,1,61.64,race,white
2014-2015,16,Campbell County,White,Grade 4,353,400,88.25,2015,4,Race,8,4,2019,campbell_county,Region 5 – Valley,Campbell County,76.1,1,83.58,race,white
2014-2015,17,Caroline County,White,Grade 4,141,196,71.94,2015,4,Race,8,4,2019,caroline_county,Region 3 – Northern Neck,Caroline County,66.5,1,67.64,race,white
2014-2015,18,Carroll County,White,Grade 4,209,264,79.17,2015,4,Race,8,4,2019,carroll_county,Region 7 – Southwest,Carroll County,79.17,1,78.91,race,white
2014-2015,19,Charles City County,White,Grade 4,13,17,76.47,2015,4,Race,8,4,2019,charles_city_county,Region 1 – Central Virginia,Charles City County,59.445,1,51.72,race,white
2014-2015,20,Charlotte County,White,Grade 4,76,91,83.52,2015,4,Race,8,4,2019,charlotte_county,Region 8 – Southside,Charlotte County,69.035,1,73.94,race,white
2014-2015,104,Charlottesville City,White,Grade 4,111,117,94.87,2015,4,Race,8,4,2019,charlottesville_city,Region 5 – Valley,Charlottesville City,79.175,1,77.93,race,white
2014-2015,136,Chesapeake City,White,Grade 4,1199,1392,86.14,2015,4,Race,8,4,2019,chesapeake_city,Region 2 – Tidewater,Chesapeake City,77.5,1,79.71,race,white
2014-2015,21,Chesterfield County,White,Grade 4,2075,2351,88.26,2015,4,Race,8,4,2019,chesterfield_county,Region 1 – Central Virginia,Chesterfield County,79.62,1,81.06,race,white
2014-2015,22,Clarke County,White,Grade 4,82,104,78.85,2015,4,Race,8,4,2019,clarke_county,Region 4 – Northern Virginia,Clarke County,78.85,1,77.86,race,white
2014-2015,202,Colonial Beach,White,Grade 4,19,23,82.61,2015,4,Race,8,4,2019,colonial_beach,Region 3 – Northern Neck,Colonial Beach,82.61,1,77.5,race,white
2014-2015,106,Colonial Heights City,White,Grade 4,113,132,85.61,2015,4,Race,8,4,2019,colonial_heights_city,Region 1 – Central Virginia,Colonial Heights City,81.375,1,84.65,race,white
2014-2015,107,Covington City,White,Grade 4,38,49,77.55,2015,4,Race,8,4,2019,covington_city,Region 6 – Western Virginia,Covington City,73.775,1,74.6,race,white
2014-2015,23,Craig County,White,Grade 4,37,40,92.5,2015,4,Race,8,4,2019,craig_county,Region 6 – Western Virginia,Craig County,92.5,1,92.5,race,white
2014-2015,24,Culpeper County,White,Grade 4,260,304,85.53,2015,4,Race,8,4,2019,culpeper_county,Region 4 – Northern Virginia,Culpeper County,75.455,1,77.65,race,white
2014-2015,25,Cumberland County,White,Grade 4,35,55,63.64,2015,4,Race,8,4,2019,cumberland_county,Region 8 – Southside,Cumberland County,58.21,1,59.18,race,white
2014-2015,108,Danville City,White,Grade 4,57,80,71.25,2015,4,Race,8,4,2019,danville_city,Region 6 – Western Virginia,Danville City,59.695,1,54.91,race,white
2014-2015,26,Dickenson County,White,Grade 4,94,151,62.25,2015,4,Race,8,4,2019,dickenson_county,Region 7 – Southwest,Dickenson County,62.25,1,62.58,race,white
2014-2015,27,Dinwiddie County,White,Grade 4,155,186,83.33,2015,4,Race,8,4,2019,dinwiddie_county,Region 1 – Central Virginia,Dinwiddie County,82.675,1,82.64,race,white
2014-2015,28,Essex County,White,Grade 4,32,41,78.05,2015,4,Race,8,4,2019,essex_county,Region 3 – Northern Neck,Essex County,70.755,1,66.36,race,white
2014-2015,29,Fairfax County,White,Grade 4,4910,5416,90.66,2015,4,Race,8,4,2019,fairfax_county,Region 4 – Northern Virginia,Fairfax County,79.07499999999999,1,81.51,race,white
2014-2015,109,Falls Church City,White,Grade 4,106,110,96.36,2015,4,Race,8,4,2019,falls_church_city,Region 4 – Northern Virginia,Falls Church City,96.36,1,89.53,race,white
2014-2015,30,Fauquier County,White,Grade 4,443,557,79.53,2015,4,Race,8,4,2019,fauquier_county,Region 4 – Northern Virginia,Fauquier County,70.535,1,76.9,race,white
2014-2015,31,Floyd County,White,Grade 4,105,126,83.33,2015,4,Race,8,4,2019,floyd_county,Region 6 – Western Virginia,Floyd County,83.33,1,82.64,race,white
2014-2015,32,Fluvanna County,White,Grade 4,169,212,79.72,2015,4,Race,8,4,2019,fluvanna_county,Region 5 – Valley,Fluvanna County,68.75,1,75.43,race,white
2014-2015,135,Franklin City,White,Grade 4,9,12,75,2015,4,Race,8,4,2019,franklin_city,Region 2 – Tidewater,Franklin City,72.59,1,70.83,race,white
2014-2015,33,Franklin County,White,Grade 4,359,419,85.68,2015,4,Race,8,4,2019,franklin_county,Region 6 – Western Virginia,Franklin County,77.84,1,83.9,race,white
2014-2015,34,Frederick County,White,Grade 4,537,720,74.58,2015,4,Race,8,4,2019,frederick_county,Region 4 – Northern Virginia,Frederick County,62.29,1,71.14,race,white
2014-2015,110,Fredericksburg City,White,Grade 4,70,81,86.42,2015,4,Race,8,4,2019,fredericksburg_city,Region 3 – Northern Neck,Fredericksburg City,75.08500000000001,1,76.09,race,white
2014-2015,111,Galax City,White,Grade 4,49,49,100,2015,4,Race,8,4,2019,galax_city,Region 7 – Southwest,Galax City,100,1,92.68,race,white
2014-2015,35,Giles County,White,Grade 4,121,150,80.67,2015,4,Race,8,4,2019,giles_county,Region 7 – Southwest,Giles County,80.67,1,78.75,race,white
2014-2015,36,Gloucester County,White,Grade 4,259,297,87.21,2015,4,Race,8,4,2019,gloucester_county,Region 3 – Northern Neck,Gloucester County,85.27,1,86.1,race,white
2014-2015,37,Goochland County,White,Grade 4,128,136,94.12,2015,4,Race,8,4,2019,goochland_county,Region 1 – Central Virginia,Goochland County,83.06,1,90.45,race,white
2014-2015,38,Grayson County,White,Grade 4,95,117,81.2,2015,4,Race,8,4,2019,grayson_county,Region 7 – Southwest,Grayson County,81.2,1,80,race,white
2014-2015,39,Greene County,White,Grade 4,126,197,63.96,2015,4,Race,8,4,2019,greene_county,Region 5 – Valley,Greene County,56.055,1,62.12,race,white
2014-2015,40,Greensville County,White,Grade 4,34,40,85,2015,4,Race,8,4,2019,greensville_county,Region 8 – Southside,Greensville County,72.725,1,67.04,race,white
2014-2015,41,Halifax County,White,Grade 4,143,188,76.06,2015,4,Race,8,4,2019,halifax_county,Region 8 – Southside,Halifax County,65.305,1,66.31,race,white
2014-2015,112,Hampton City,White,Grade 4,309,379,81.53,2015,4,Race,8,4,2019,hampton_city,Region 2 – Tidewater,Hampton City,71.35,1,68.54,race,white
2014-2015,42,Hanover County,White,Grade 4,906,1050,86.29,2015,4,Race,8,4,2019,hanover_county,Region 1 – Central Virginia,Hanover County,79.78,1,84.24,race,white
2014-2015,113,Harrisonburg City,White,Grade 4,124,157,78.98,2015,4,Race,8,4,2019,harrisonburg_city,Region 5 – Valley,Harrisonburg City,63.63,1,67.45,race,white
2014-2015,43,Henrico County,White,Grade 4,1373,1599,85.87,2015,4,Race,8,4,2019,henrico_county,Region 1 – Central Virginia,Henrico County,72.81,1,75.14,race,white
2014-2015,44,Henry County,White,Grade 4,218,277,78.7,2015,4,Race,8,4,2019,henry_county,Region 6 – Western Virginia,Henry County,68.27000000000001,1,71.34,race,white
2014-2015,45,Highland County,White,Grade 4,12,12,100,2015,4,Race,8,4,2019,highland_county,Region 5 – Valley,Highland County,100,1,100,race,white
2014-2015,114,Hopewell City,White,Grade 4,55,86,63.95,2015,4,Race,8,4,2019,hopewell_city,Region 1 – Central Virginia,Hopewell City,58.845,1,58.28,race,white
2014-2015,46,Isle of Wight County,White,Grade 4,250,296,84.46,2015,4,Race,8,4,2019,isle_of_wight_county,Region 2 – Tidewater,Isle of Wight County,75.06,1,79.22,race,white
2014-2015,48,King George County,White,Grade 4,178,211,84.36,2015,4,Race,8,4,2019,king_george_county,Region 3 – Northern Neck,King George County,76.85499999999999,1,81.09,race,white
2014-2015,50,King William County,White,Grade 4,101,140,72.14,2015,4,Race,8,4,2019,king_william_county,Region 3 – Northern Neck,King William County,64.86,1,69.47,race,white
2014-2015,49,King and Queen County,White,Grade 4,25,31,80.65,2015,4,Race,8,4,2019,king_and_queen_county,Region 3 – Northern Neck,King and Queen County,79.80000000000001,1,75.86,race,white
2014-2015,51,Lancaster County,White,Grade 4,18,26,69.23,2015,4,Race,8,4,2019,lancaster_county,Region 3 – Northern Neck,Lancaster County,62.275000000000006,1,61.33,race,white
2014-2015,52,Lee County,White,Grade 4,162,213,76.06,2015,4,Race,8,4,2019,lee_county,Region 7 – Southwest,Lee County,76.06,1,75.8,race,white
2014-2015,137,Lexington City,White,Grade 4,43,46,93.48,2015,4,Race,8,4,2019,lexington_city,Region 5 – Valley,Lexington City,93.48,1,86.44,race,white
2014-2015,53,Loudoun County,White,Grade 4,2561,2948,86.87,2015,4,Race,8,4,2019,loudoun_county,Region 4 – Northern Virginia,Loudoun County,77.80000000000001,1,83.54,race,white
2014-2015,54,Louisa County,White,Grade 4,211,271,77.86,2015,4,Race,8,4,2019,louisa_county,Region 5 – Valley,Louisa County,67.23,1,73.58,race,white
2014-2015,55,Lunenburg County,White,Grade 4,42,61,68.85,2015,4,Race,8,4,2019,lunenburg_county,Region 8 – Southside,Lunenburg County,55.155,1,57.72,race,white
2014-2015,115,Lynchburg City,White,Grade 4,191,218,87.61,2015,4,Race,8,4,2019,lynchburg_city,Region 5 – Valley,Lynchburg City,69.88499999999999,1,68.64,race,white
2014-2015,56,Madison County,White,Grade 4,80,118,67.8,2015,4,Race,8,4,2019,madison_county,Region 4 – Northern Virginia,Madison County,67.8,1,65.73,race,white
2014-2015,143,Manassas City,White,Grade 4,93,100,93,2015,4,Race,8,4,2019,manassas_city,Region 4 – Northern Virginia,Manassas City,81.745,1,69.45,race,white
2014-2015,144,Manassas Park City,White,Grade 4,32,41,78.05,2015,4,Race,8,4,2019,manassas_park_city,Region 4 – Northern Virginia,Manassas Park City,69.795,1,61.18,race,white
2014-2015,116,Martinsville City,White,Grade 4,37,51,72.55,2015,4,Race,8,4,2019,martinsville_city,Region 6 – Western Virginia,Martinsville City,57.004999999999995,1,56.96,race,white
2014-2015,57,Mathews County,White,Grade 4,53,73,72.6,2015,4,Race,8,4,2019,mathews_county,Region 3 – Northern Neck,Mathews County,72.6,1,72.15,race,white
2014-2015,58,Mecklenburg County,White,Grade 4,131,161,81.37,2015,4,Race,8,4,2019,mecklenburg_county,Region 8 – Southside,Mecklenburg County,69.61,1,71.85,race,white
2014-2015,59,Middlesex County,White,Grade 4,58,63,92.06,2015,4,Race,8,4,2019,middlesex_county,Region 3 – Northern Neck,Middlesex County,84.66499999999999,1,88.04,race,white
2014-2015,60,Montgomery County,White,Grade 4,478,586,81.57,2015,4,Race,8,4,2019,montgomery_county,Region 6 – Western Virginia,Montgomery County,76.5,1,80.86,race,white
2014-2015,62,Nelson County,White,Grade 4,63,97,64.95,2015,4,Race,8,4,2019,nelson_county,Region 5 – Valley,Nelson County,57.475,1,63.85,race,white
2014-2015,63,New Kent County,White,Grade 4,145,166,87.35,2015,4,Race,8,4,2019,new_kent_county,Region 1 – Central Virginia,New Kent County,68.675,1,83.11,race,white
2014-2015,117,Newport News City,White,Grade 4,444,515,86.21,2015,4,Race,8,4,2019,newport_news_city,Region 2 – Tidewater,Newport News City,74.42,1,70.63,race,white
2014-2015,118,Norfolk City,White,Grade 4,406,493,82.35,2015,4,Race,8,4,2019,norfolk_city,Region 2 – Tidewater,Norfolk City,69.62,1,64.95,race,white
2014-2015,65,Northampton County,White,Grade 4,28,36,77.78,2015,4,Race,8,4,2019,northampton_county,Region 2 – Tidewater,Northampton County,63.42,1,62.07,race,white
2014-2015,66,Northumberland County,White,Grade 4,43,46,93.48,2015,4,Race,8,4,2019,northumberland_county,Region 3 – Northern Neck,Northumberland County,78.78999999999999,1,80.21,race,white
2014-2015,119,Norton City,White,Grade 4,48,54,88.89,2015,4,Race,8,4,2019,norton_city,Region 7 – Southwest,Norton City,88.89,1,87.5,race,white
2014-2015,67,Nottoway County,White,Grade 4,56,66,84.85,2015,4,Race,8,4,2019,nottoway_county,Region 8 – Southside,Nottoway County,59.56999999999999,1,60.14,race,white
2014-2015,68,Orange County,White,Grade 4,202,246,82.11,2015,4,Race,8,4,2019,orange_county,Region 4 – Northern Virginia,Orange County,83.055,-1,81.74,race,white
2014-2015,69,Page County,White,Grade 4,172,236,72.88,2015,4,Race,8,4,2019,page_county,Region 4 – Northern Virginia,Page County,72.88,1,72.55,race,white
2014-2015,70,Patrick County,White,Grade 4,141,181,77.9,2015,4,Race,8,4,2019,patrick_county,Region 6 – Western Virginia,Patrick County,74.245,1,74.89,race,white
2014-2015,71,Pittsylvania County,White,Grade 4,384,469,81.88,2015,4,Race,8,4,2019,pittsylvania_county,Region 6 – Western Virginia,Pittsylvania County,73.85499999999999,1,78.34,race,white
2014-2015,142,Poquoson City,White,Grade 4,122,140,87.14,2015,4,Race,8,4,2019,poquoson_city,Region 2 – Tidewater,Poquoson City,87.14,1,88.31,race,white
2014-2015,121,Portsmouth City,White,Grade 4,165,201,82.09,2015,4,Race,8,4,2019,portsmouth_city,Region 2 – Tidewater,Portsmouth City,74.03,1,69.87,race,white
2014-2015,72,Powhatan County,White,Grade 4,222,267,83.15,2015,4,Race,8,4,2019,powhatan_county,Region 1 – Central Virginia,Powhatan County,62.730000000000004,1,79.68,race,white
2014-2015,73,Prince Edward County,White,Grade 4,37,51,72.55,2015,4,Race,8,4,2019,prince_edward_county,Region 8 – Southside,Prince Edward County,57.705,1,56.25,race,white
2014-2015,74,Prince George County,White,Grade 4,175,209,83.73,2015,4,Race,8,4,2019,prince_george_county,Region 1 – Central Virginia,Prince George County,80.83500000000001,1,82.81,race,white
2014-2015,75,Prince William County,White,Grade 4,1838,2073,88.66,2015,4,Race,8,4,2019,prince_william_county,Region 4 – Northern Virginia,Prince William County,80.215,1,79.55,race,white
2014-2015,77,Pulaski County,White,Grade 4,219,279,78.49,2015,4,Race,8,4,2019,pulaski_county,Region 7 – Southwest,Pulaski County,78.49,1,76.9,race,white
2014-2015,122,Radford City,White,Grade 4,76,95,80,2015,4,Race,8,4,2019,radford_city,Region 7 – Southwest,Radford City,71.25,1,75,race,white
2014-2015,78,Rappahannock County,White,Grade 4,34,49,69.39,2015,4,Race,8,4,2019,rappahannock_county,Region 4 – Northern Virginia,Rappahannock County,69.39,1,62.5,race,white
2014-2015,123,Richmond City,White,Grade 4,166,192,86.46,2015,4,Race,8,4,2019,richmond_city,Region 1 – Central Virginia,Richmond City,70.88,1,59.53,race,white
2014-2015,79,Richmond County,White,Grade 4,41,50,82,2015,4,Race,8,4,2019,richmond_county,Region 3 – Northern Neck,Richmond County,68.08500000000001,1,75.86,race,white
2014-2015,124,Roanoke City,White,Grade 4,303,382,79.32,2015,4,Race,8,4,2019,roanoke_city,Region 6 – Western Virginia,Roanoke City,71.72,1,70.81,race,white
2014-2015,80,Roanoke County,White,Grade 4,696,809,86.03,2015,4,Race,8,4,2019,roanoke_county,Region 6 – Western Virginia,Roanoke County,72.525,1,84.16,race,white
2014-2015,81,Rockbridge County,White,Grade 4,134,176,76.14,2015,4,Race,8,4,2019,rockbridge_county,Region 5 – Valley,Rockbridge County,76.14,1,74.37,race,white
2014-2015,82,Rockingham County,White,Grade 4,573,679,84.39,2015,4,Race,8,4,2019,rockingham_county,Region 5 – Valley,Rockingham County,77.49000000000001,1,82.89,race,white
2014-2015,83,Russell County,White,Grade 4,243,282,86.17,2015,4,Race,8,4,2019,russell_county,Region 7 – Southwest,Russell County,86.17,1,86.25,race,white
2014-2015,139,Salem City,White,Grade 4,196,221,88.69,2015,4,Race,8,4,2019,salem_city,Region 6 – Western Virginia,Salem City,81.3,1,84.17,race,white
2014-2015,84,Scott County,White,Grade 4,206,256,80.47,2015,4,Race,8,4,2019,scott_county,Region 7 – Southwest,Scott County,80.47,1,80.08,race,white
2014-2015,85,Shenandoah County,White,Grade 4,249,331,75.23,2015,4,Race,8,4,2019,shenandoah_county,Region 4 – Northern Virginia,Shenandoah County,64.28,1,70.37,race,white
2014-2015,86,Smyth County,White,Grade 4,241,322,74.84,2015,4,Race,8,4,2019,smyth_county,Region 7 – Southwest,Smyth County,74.84,1,74.7,race,white
2014-2015,87,Southampton County,White,Grade 4,96,104,92.31,2015,4,Race,8,4,2019,southampton_county,Region 2 – Tidewater,Southampton County,81.57,1,83.78,race,white
2014-2015,88,Spotsylvania County,White,Grade 4,840,1052,79.85,2015,4,Race,8,4,2019,spotsylvania_county,Region 3 – Northern Neck,Spotsylvania County,70.11,1,74.81,race,white
2014-2015,89,Stafford County,White,Grade 4,866,1011,85.66,2015,4,Race,8,4,2019,stafford_county,Region 3 – Northern Neck,Stafford County,79.465,1,81.85,race,white
2014-2015,126,Staunton City,White,Grade 4,103,134,76.87,2015,4,Race,8,4,2019,staunton_city,Region 5 – Valley,Staunton City,67.465,1,70.73,race,white
2014-2015,127,Suffolk City,White,Grade 4,317,368,86.14,2015,4,Race,8,4,2019,suffolk_city,Region 2 – Tidewater,Suffolk City,76.995,1,75.91,race,white
2014-2015,90,Surry County,White,Grade 4,21,26,80.77,2015,4,Race,8,4,2019,surry_county,Region 1 – Central Virginia,Surry County,76.32499999999999,1,75.86,race,white
2014-2015,91,Sussex County,White,Grade 4,12,18,66.67,2015,4,Race,8,4,2019,sussex_county,Region 1 – Central Virginia,Sussex County,65.555,1,64.71,race,white
2014-2015,92,Tazewell County,White,Grade 4,375,435,86.21,2015,4,Race,8,4,2019,tazewell_county,Region 7 – Southwest,Tazewell County,88.10499999999999,-1,86.55,race,white
2014-2015,128,Virginia Beach City,White,Grade 4,2263,2607,86.8,2015,4,Race,8,4,2019,virginia_beach_city,Region 2 – Tidewater,Virginia Beach City,76.22999999999999,1,80.41,race,white
2014-2015,93,Warren County,White,Grade 4,264,328,80.49,2015,4,Race,8,4,2019,warren_county,Region 4 – Northern Virginia,Warren County,73.58,1,79.75,race,white
2014-2015,94,Washington County,White,Grade 4,397,465,85.38,2015,4,Race,8,4,2019,washington_county,Region 7 – Southwest,Washington County,87.69,-1,86.22,race,white
2014-2015,130,Waynesboro City,White,Grade 4,116,147,78.91,2015,4,Race,8,4,2019,waynesboro_city,Region 5 – Valley,Waynesboro City,69.455,1,74.26,race,white
2014-2015,207,West Point,White,Grade 4,34,34,100,2015,4,Race,8,4,2019,west_point,Region 3 – Northern Neck,West Point,100,1,100,race,white
2014-2015,95,Westmoreland County,White,Grade 4,39,46,84.78,2015,4,Race,8,4,2019,westmoreland_county,Region 3 – Northern Neck,Westmoreland County,72.945,1,74.55,race,white
2014-2015,131,Williamsburg-James City County,White,Grade 4,440,491,89.61,2015,4,Race,8,4,2019,williamsburg-james_city_county,Region 2 – Tidewater,Williamsburg-James City County,74.175,1,81.8,race,white
2014-2015,132,Winchester City,White,Grade 4,109,140,77.86,2015,4,Race,8,4,2019,winchester_city,Region 4 – Northern Virginia,Winchester City,68.095,1,70.36,race,white
2014-2015,96,Wise County,White,Grade 4,333,394,84.52,2015,4,Race,8,4,2019,wise_county,Region 7 – Southwest,Wise County,84.52,1,83.41,race,white
2014-2015,97,Wythe County,White,Grade 4,221,277,79.78,2015,4,Race,8,4,2019,wythe_county,Region 7 – Southwest,Wythe County,73.225,1,78.86,race,white
2014-2015,98,York County,White,Grade 4,544,604,90.07,2015,4,Race,8,4,2019,york_county,Region 2 – Tidewater,York County,83.75999999999999,1,88.38,race,white
2015-2016,1,Accomack County,White,Grade 5,116,139,83.45,2016,5,Race,8,3,2019,accomack_county,Region 2 – Tidewater,Accomack County,66.08500000000001,1,66.3,race,white
2015-2016,2,Albemarle County,White,Grade 5,569,658,86.47,2016,5,Race,8,3,2019,albemarle_county,Region 5 – Valley,Albemarle County,68.005,1,78.66,race,white
2015-2016,101,Alexandria City,White,Grade 5,266,287,92.68,2016,5,Race,8,3,2019,alexandria_city,Region 4 – Northern Virginia,Alexandria City,81.765,1,74.03,race,white
2015-2016,3,Alleghany County,White,Grade 5,103,139,74.1,2016,5,Race,8,3,2019,alleghany_county,Region 6 – Western Virginia,Alleghany County,74.1,1,72.39,race,white
2015-2016,4,Amelia County,White,Grade 5,71,85,83.53,2016,5,Race,8,3,2019,amelia_county,Region 8 – Southside,Amelia County,67.625,1,74.17,race,white
2015-2016,5,Amherst County,White,Grade 5,176,215,81.86,2016,5,Race,8,3,2019,amherst_county,Region 5 – Valley,Amherst County,75.375,1,79.8,race,white
2015-2016,6,Appomattox County,White,Grade 5,90,101,89.11,2016,5,Race,8,3,2019,appomattox_county,Region 8 – Southside,Appomattox County,76.91,1,83.67,race,white
2015-2016,7,Arlington County,White,Grade 5,975,1024,95.21,2016,5,Race,8,3,2019,arlington_county,Region 4 – Northern Virginia,Arlington County,86.01499999999999,1,88.8,race,white
2015-2016,8,Augusta County,White,Grade 5,570,705,80.85,2016,5,Race,8,3,2019,augusta_county,Region 5 – Valley,Augusta County,80.85,1,79.23,race,white
2015-2016,9,Bath County,White,Grade 5,28,33,84.85,2016,5,Race,8,3,2019,bath_county,Region 5 – Valley,Bath County,84.85,1,85.29,race,white
2015-2016,10,Bedford County,White,Grade 5,471,556,84.71,2016,5,Race,8,3,2019,bedford_county,Region 5 – Valley,Bedford County,72.045,1,81.82,race,white
2015-2016,11,Bland County,White,Grade 5,54,65,83.08,2016,5,Race,8,3,2019,bland_county,Region 7 – Southwest,Bland County,83.08,1,83.33,race,white
2015-2016,12,Botetourt County,White,Grade 5,266,306,86.93,2016,5,Race,8,3,2019,botetourt_county,Region 6 – Western Virginia,Botetourt County,86.93,1,85.67,race,white
2015-2016,102,Bristol City,White,Grade 5,115,141,81.56,2016,5,Race,8,3,2019,bristol_city,Region 7 – Southwest,Bristol City,81.56,1,82.82,race,white
2015-2016,13,Brunswick County,White,Grade 5,24,29,82.76,2016,5,Race,8,3,2019,brunswick_county,Region 8 – Southside,Brunswick County,77.095,1,72.22,race,white
2015-2016,14,Buchanan County,White,Grade 5,150,202,74.26,2016,5,Race,8,3,2019,buchanan_county,Region 7 – Southwest,Buchanan County,74.26,1,74.26,race,white
2015-2016,15,Buckingham County,White,Grade 5,57,72,79.17,2016,5,Race,8,3,2019,buckingham_county,Region 8 – Southside,Buckingham County,59.760000000000005,1,63.19,race,white
2015-2016,103,Buena Vista City,White,Grade 5,36,71,50.7,2016,5,Race,8,3,2019,buena_vista_city,Region 5 – Valley,Buena Vista City,50.7,1,50.65,race,white
2015-2016,16,Campbell County,White,Grade 5,345,398,86.68,2016,5,Race,8,3,2019,campbell_county,Region 5 – Valley,Campbell County,71.39,1,81.7,race,white
2015-2016,17,Caroline County,White,Grade 5,134,169,79.29,2016,5,Race,8,3,2019,caroline_county,Region 3 – Northern Neck,Caroline County,70.89500000000001,1,76.71,race,white
2015-2016,18,Carroll County,White,Grade 5,206,265,77.74,2016,5,Race,8,3,2019,carroll_county,Region 7 – Southwest,Carroll County,77.74,1,77.97,race,white
2015-2016,19,Charles City County,White,Grade 5,16,19,84.21,2016,5,Race,8,3,2019,charles_city_county,Region 1 – Central Virginia,Charles City County,69.38,1,69.49,race,white
2015-2016,20,Charlotte County,White,Grade 5,69,93,74.19,2016,5,Race,8,3,2019,charlotte_county,Region 8 – Southside,Charlotte County,63.230000000000004,1,67.36,race,white
2015-2016,104,Charlottesville City,White,Grade 5,79,88,89.77,2016,5,Race,8,3,2019,charlottesville_city,Region 5 – Valley,Charlottesville City,68.75999999999999,1,67.16,race,white
2015-2016,136,Chesapeake City,White,Grade 5,1309,1477,88.63,2016,5,Race,8,3,2019,chesapeake_city,Region 2 – Tidewater,Chesapeake City,79.755,1,82.37,race,white
2015-2016,21,Chesterfield County,White,Grade 5,2122,2316,91.62,2016,5,Race,8,3,2019,chesterfield_county,Region 1 – Central Virginia,Chesterfield County,84.14500000000001,1,85.45,race,white
2015-2016,22,Clarke County,White,Grade 5,92,102,90.2,2016,5,Race,8,3,2019,clarke_county,Region 4 – Northern Virginia,Clarke County,90.2,1,87.97,race,white
2015-2016,202,Colonial Beach,White,Grade 5,21,26,80.77,2016,5,Race,8,3,2019,colonial_beach,Region 3 – Northern Neck,Colonial Beach,80.77,1,73.81,race,white
2015-2016,106,Colonial Heights City,White,Grade 5,110,134,82.09,2016,5,Race,8,3,2019,colonial_heights_city,Region 1 – Central Virginia,Colonial Heights City,77.295,1,80.28,race,white
2015-2016,107,Covington City,White,Grade 5,39,50,78,2016,5,Race,8,3,2019,covington_city,Region 6 – Western Virginia,Covington City,78,1,75.41,race,white
2015-2016,23,Craig County,White,Grade 5,36,38,94.74,2016,5,Race,8,3,2019,craig_county,Region 6 – Western Virginia,Craig County,94.74,1,94.74,race,white
