school_year,division_number,division_name,level,test_level,pass_count,total_count,pass_rate,test_year,grade,demographic,max_grade,years_from_end,cohort,division_use,region,division,mean_rate,direction,min_rate,average,filter_out,demographic_use,level_use
2016-2017,12,Botetourt County,White,Grade 6,263,311,84.57,2017,6,Race,8,2,2019,botetourt_county,Region 6 – Western Virginia,Botetourt County,NA,-1,84.57,82.66,0,race,white
2016-2017,102,Bristol City,White,Grade 6,88,129,68.22,2017,6,Race,8,2,2019,bristol_city,Region 7 – Southwest,Bristol City,NA,-1,68.22,69.23,0,race,white
2016-2017,13,Brunswick County,White,Grade 6,20,24,83.33,2017,6,Race,8,2,2019,brunswick_county,Region 8 – Southside,Brunswick County,75.38499999999999,1,67.44,69.57,0,race,white
2016-2017,14,Buchanan County,White,Grade 6,148,198,74.75,2017,6,Race,8,2,2019,buchanan_county,Region 7 – Southwest,Buchanan County,74.75,1,74.75,74.75,0,race,white
2016-2017,15,Buckingham County,White,Grade 6,59,75,78.67,2017,6,Race,8,2,2019,buckingham_county,Region 8 – Southside,Buckingham County,65.17,1,51.67,66.67,0,race,white
2016-2017,103,Buena Vista City,White,Grade 6,51,72,70.83,2017,6,Race,8,2,2019,buena_vista_city,Region 5 – Valley,Buena Vista City,NA,-1,70.83,69.23,0,race,white
2016-2017,16,Campbell County,White,Grade 6,350,412,84.95,2017,6,Race,8,2,2019,campbell_county,Region 5 – Valley,Campbell County,70.79,1,56.63,80.95,0,race,white
2016-2017,17,Caroline County,White,Grade 6,109,159,68.55,2017,6,Race,8,2,2019,caroline_county,Region 3 – Northern Neck,Caroline County,57.055,1,45.56,64.17,0,race,white
2016-2017,18,Carroll County,White,Grade 6,220,265,83.02,2017,6,Race,8,2,2019,carroll_county,Region 7 – Southwest,Carroll County,NA,-1,83.02,82.37,0,race,white
2016-2017,19,Charles City County,White,Grade 6,15,17,88.24,2017,6,Race,8,2,2019,charles_city_county,Region 1 – Central Virginia,Charles City County,78.405,1,68.57,75.86,0,race,white
2016-2017,20,Charlotte County,White,Grade 6,72,95,75.79,2017,6,Race,8,2,2019,charlotte_county,Region 8 – Southside,Charlotte County,62.895,1,50,67.57,0,race,white
2016-2017,104,Charlottesville City,White,Grade 6,85,86,98.84,2017,6,Race,8,2,2019,charlottesville_city,Region 5 – Valley,Charlottesville City,74.89,1,50.94,73.02,0,race,white
2016-2017,136,Chesapeake City,White,Grade 6,1315,1494,88.02,2017,6,Race,8,2,2019,chesapeake_city,Region 2 – Tidewater,Chesapeake City,78.53999999999999,1,69.06,81.33,0,race,white
2016-2017,21,Chesterfield County,White,Grade 6,2063,2337,88.28,2017,6,Race,8,2,2019,chesterfield_county,Region 1 – Central Virginia,Chesterfield County,78.21000000000001,1,68.14,80.01,0,race,white
2016-2017,22,Clarke County,White,Grade 6,80,103,77.67,2017,6,Race,8,2,2019,clarke_county,Region 4 – Northern Virginia,Clarke County,NA,-1,77.67,76.87,0,race,white
2016-2017,202,Colonial Beach,White,Grade 6,25,28,89.29,2017,6,Race,8,2,2019,colonial_beach,Region 3 – Northern Neck,Colonial Beach,NA,-1,89.29,80.43,0,race,white
2016-2017,106,Colonial Heights City,White,Grade 6,108,135,80,2017,6,Race,8,2,2019,colonial_heights_city,Region 1 – Central Virginia,Colonial Heights City,73.33500000000001,1,66.67,77,0,race,white
2016-2017,107,Covington City,White,Grade 6,35,50,70,2017,6,Race,8,2,2019,covington_city,Region 6 – Western Virginia,Covington City,NA,-1,70,66.67,0,race,white
2016-2017,23,Craig County,White,Grade 6,30,39,76.92,2017,6,Race,8,2,2019,craig_county,Region 6 – Western Virginia,Craig County,76.92,1,76.92,76.92,0,race,white
2016-2017,24,Culpeper County,White,Grade 6,250,302,82.78,2017,6,Race,8,2,2019,culpeper_county,Region 4 – Northern Virginia,Culpeper County,72.64,1,62.5,78.49,0,race,white
2016-2017,25,Cumberland County,White,Grade 6,44,56,78.57,2017,6,Race,8,2,2019,cumberland_county,Region 8 – Southside,Cumberland County,74.13499999999999,1,69.7,74.47,0,race,white
2016-2017,108,Danville City,White,Grade 6,44,66,66.67,2017,6,Race,8,2,2019,danville_city,Region 6 – Western Virginia,Danville City,53.685,1,40.7,47.99,0,race,white
2016-2017,26,Dickenson County,White,Grade 6,107,134,79.85,2017,6,Race,8,2,2019,dickenson_county,Region 7 – Southwest,Dickenson County,NA,-1,79.85,80.43,0,race,white
2016-2017,27,Dinwiddie County,White,Grade 6,135,166,81.33,2017,6,Race,8,2,2019,dinwiddie_county,Region 1 – Central Virginia,Dinwiddie County,76.455,1,71.58,77.55,0,race,white
2016-2017,28,Essex County,White,Grade 6,31,39,79.49,2017,6,Race,8,2,2019,essex_county,Region 3 – Northern Neck,Essex County,70.515,1,61.54,68.57,0,race,white
2016-2017,29,Fairfax County,White,Grade 6,5042,5414,93.13,2017,6,Race,8,2,2019,fairfax_county,Region 4 – Northern Virginia,Fairfax County,83.685,1,74.24,85.55,0,race,white
2016-2017,109,Falls Church City,White,Grade 6,110,115,95.65,2017,6,Race,8,2,2019,falls_church_city,Region 4 – Northern Virginia,Falls Church City,NA,-1,95.65,92.31,0,race,white
2016-2017,30,Fauquier County,White,Grade 6,465,565,82.3,2017,6,Race,8,2,2019,fauquier_county,Region 4 – Northern Virginia,Fauquier County,69.995,1,57.69,79.75,0,race,white
2016-2017,31,Floyd County,White,Grade 6,114,135,84.44,2017,6,Race,8,2,2019,floyd_county,Region 6 – Western Virginia,Floyd County,NA,-1,84.44,84.97,0,race,white
2016-2017,32,Fluvanna County,White,Grade 6,167,207,80.68,2017,6,Race,8,2,2019,fluvanna_county,Region 5 – Valley,Fluvanna County,70.34,1,60,77.22,0,race,white
2016-2017,135,Franklin City,White,Grade 6,9,10,90,2017,6,Race,8,2,2019,franklin_city,Region 2 – Tidewater,Franklin City,81.205,1,72.41,74.29,0,race,white
2016-2017,33,Franklin County,White,Grade 6,344,408,84.31,2017,6,Race,8,2,2019,franklin_county,Region 6 – Western Virginia,Franklin County,69.785,1,55.26,80.88,0,race,white
2016-2017,34,Frederick County,White,Grade 6,583,740,78.78,2017,6,Race,8,2,2019,frederick_county,Region 4 – Northern Virginia,Frederick County,68.11500000000001,1,57.45,75.64,0,race,white
2016-2017,110,Fredericksburg City,White,Grade 6,71,77,92.21,2017,6,Race,8,2,2019,fredericksburg_city,Region 3 – Northern Neck,Fredericksburg City,76.77,1,61.33,74.55,0,race,white
2016-2017,111,Galax City,White,Grade 6,46,53,86.79,2017,6,Race,8,2,2019,galax_city,Region 7 – Southwest,Galax City,NA,-1,86.79,77.01,0,race,white
2016-2017,35,Giles County,White,Grade 6,133,157,84.71,2017,6,Race,8,2,2019,giles_county,Region 7 – Southwest,Giles County,NA,-1,84.71,84.85,0,race,white
2016-2017,36,Gloucester County,White,Grade 6,244,295,82.71,2017,6,Race,8,2,2019,gloucester_county,Region 3 – Northern Neck,Gloucester County,77.07,1,71.43,80.94,0,race,white
2016-2017,37,Goochland County,White,Grade 6,143,153,93.46,2017,6,Race,8,2,2019,goochland_county,Region 1 – Central Virginia,Goochland County,84.22999999999999,1,75,90,0,race,white
2016-2017,38,Grayson County,White,Grade 6,80,102,78.43,2017,6,Race,8,2,2019,grayson_county,Region 7 – Southwest,Grayson County,NA,-1,78.43,76.79,0,race,white
2016-2017,39,Greene County,White,Grade 6,126,186,67.74,2017,6,Race,8,2,2019,greene_county,Region 5 – Valley,Greene County,61.455,1,55.17,66.4,0,race,white
2016-2017,40,Greensville County,White,Grade 6,30,37,81.08,2017,6,Race,8,2,2019,greensville_county,Region 8 – Southside,Greensville County,68.66499999999999,1,56.25,62.75,0,race,white
2016-2017,41,Halifax County,White,Grade 6,139,180,77.22,2017,6,Race,8,2,2019,halifax_county,Region 8 – Southside,Halifax County,68.55,1,59.88,69.44,0,race,white
2016-2017,112,Hampton City,White,Grade 6,296,347,85.3,2017,6,Race,8,2,2019,hampton_city,Region 2 – Tidewater,Hampton City,77.405,1,69.51,75.03,0,race,white
2016-2017,42,Hanover County,White,Grade 6,934,1088,85.85,2017,6,Race,8,2,2019,hanover_county,Region 1 – Central Virginia,Hanover County,76.675,1,67.5,83.15,0,race,white
2016-2017,113,Harrisonburg City,White,Grade 6,118,156,75.64,2017,6,Race,8,2,2019,harrisonburg_city,Region 5 – Valley,Harrisonburg City,60.545,1,45.45,61.79,0,race,white
2016-2017,43,Henrico County,White,Grade 6,1352,1571,86.06,2017,6,Race,8,2,2019,henrico_county,Region 1 – Central Virginia,Henrico County,71.77,1,57.48,74.29,0,race,white
2016-2017,44,Henry County,White,Grade 6,227,283,80.21,2017,6,Race,8,2,2019,henry_county,Region 6 – Western Virginia,Henry County,74.065,1,67.92,74.76,0,race,white
2016-2017,45,Highland County,White,Grade 6,12,14,85.71,2017,6,Race,8,2,2019,highland_county,Region 5 – Valley,Highland County,NA,-1,85.71,86.67,0,race,white
2016-2017,114,Hopewell City,White,Grade 6,51,76,67.11,2017,6,Race,8,2,2019,hopewell_city,Region 1 – Central Virginia,Hopewell City,60.705,1,54.3,61.85,0,race,white
2016-2017,46,Isle of Wight County,White,Grade 6,248,280,88.57,2017,6,Race,8,2,2019,isle_of_wight_county,Region 2 – Tidewater,Isle of Wight County,83.81,1,79.05,85.98,0,race,white
2016-2017,48,King George County,White,Grade 6,194,223,87,2017,6,Race,8,2,2019,king_george_county,Region 3 – Northern Neck,King George County,76,1,65,82.28,0,race,white
2016-2017,50,King William County,White,Grade 6,99,143,69.23,2017,6,Race,8,2,2019,king_william_county,Region 3 – Northern Neck,King William County,62.95,1,56.67,65.63,0,race,white
2016-2017,49,King and Queen County,White,Grade 6,26,28,92.86,2017,6,Race,8,2,2019,king_and_queen_county,Region 3 – Northern Neck,King and Queen County,85.905,1,78.95,85.71,0,race,white
2016-2017,51,Lancaster County,White,Grade 6,24,27,88.89,2017,6,Race,8,2,2019,lancaster_county,Region 3 – Northern Neck,Lancaster County,78.12,1,67.35,75.64,0,race,white
2016-2017,52,Lee County,White,Grade 6,153,209,73.21,2017,6,Race,8,2,2019,lee_county,Region 7 – Southwest,Lee County,NA,-1,73.21,73.49,0,race,white
2016-2017,137,Lexington City,White,Grade 6,44,51,86.27,2017,6,Race,8,2,2019,lexington_city,Region 5 – Valley,Lexington City,NA,-1,86.27,81.82,0,race,white
2016-2017,53,Loudoun County,White,Grade 6,2756,3008,91.62,2017,6,Race,8,2,2019,loudoun_county,Region 4 – Northern Virginia,Loudoun County,83.18,1,74.74,87.32,0,race,white
2016-2017,54,Louisa County,White,Grade 6,207,263,78.71,2017,6,Race,8,2,2019,louisa_county,Region 5 – Valley,Louisa County,65.77,1,52.83,74.43,0,race,white
2016-2017,55,Lunenburg County,White,Grade 6,47,63,74.6,2017,6,Race,8,2,2019,lunenburg_county,Region 8 – Southside,Lunenburg County,61.214999999999996,1,47.83,64.06,0,race,white
2016-2017,115,Lynchburg City,White,Grade 6,180,219,82.19,2017,6,Race,8,2,2019,lynchburg_city,Region 5 – Valley,Lynchburg City,63.375,1,44.56,62.08,0,race,white
2016-2017,56,Madison County,White,Grade 6,88,126,69.84,2017,6,Race,8,2,2019,madison_county,Region 4 – Northern Virginia,Madison County,NA,-1,69.84,67.59,0,race,white
2016-2017,143,Manassas City,White,Grade 6,84,94,89.36,2017,6,Race,8,2,2019,manassas_city,Region 4 – Northern Virginia,Manassas City,81.285,1,73.21,81.285,0,race,white
2016-2017,144,Manassas Park City,White,Grade 6,30,38,78.95,2017,6,Race,8,2,2019,manassas_park_city,Region 4 – Northern Virginia,Manassas Park City,76.975,1,75,76.975,0,race,white
2016-2017,116,Martinsville City,White,Grade 6,25,32,78.13,2017,6,Race,8,2,2019,martinsville_city,Region 6 – Western Virginia,Martinsville City,63.065,1,48,61.07,0,race,white
2016-2017,57,Mathews County,White,Grade 6,59,72,81.94,2017,6,Race,8,2,2019,mathews_county,Region 3 – Northern Neck,Mathews County,NA,-1,81.94,81.25,0,race,white
2016-2017,58,Mecklenburg County,White,Grade 6,131,163,80.37,2017,6,Race,8,2,2019,mecklenburg_county,Region 8 – Southside,Mecklenburg County,69.48,1,58.59,70.42,0,race,white
2016-2017,59,Middlesex County,White,Grade 6,60,74,81.08,2017,6,Race,8,2,2019,middlesex_county,Region 3 – Northern Neck,Middlesex County,81.015,1,80.95,82.69,0,race,white
2016-2017,60,Montgomery County,White,Grade 6,486,594,81.82,2017,6,Race,8,2,2019,montgomery_county,Region 6 – Western Virginia,Montgomery County,73.805,1,65.79,80.36,0,race,white
2016-2017,62,Nelson County,White,Grade 6,71,98,72.45,2017,6,Race,8,2,2019,nelson_county,Region 5 – Valley,Nelson County,65.39,1,58.33,70,0,race,white
2016-2017,63,New Kent County,White,Grade 6,153,183,83.61,2017,6,Race,8,2,2019,new_kent_county,Region 1 – Central Virginia,New Kent County,65.615,1,47.62,78.75,0,race,white
2016-2017,117,Newport News City,White,Grade 6,389,468,83.12,2017,6,Race,8,2,2019,newport_news_city,Region 2 – Tidewater,Newport News City,69.765,1,56.41,65.35,0,race,white
2016-2017,118,Norfolk City,White,Grade 6,379,449,84.41,2017,6,Race,8,2,2019,norfolk_city,Region 2 – Tidewater,Norfolk City,71.66499999999999,1,58.92,67.45,0,race,white
2016-2017,65,Northampton County,White,Grade 6,26,28,92.86,2017,6,Race,8,2,2019,northampton_county,Region 2 – Tidewater,Northampton County,76.02,1,59.18,72.22,0,race,white
2016-2017,66,Northumberland County,White,Grade 6,39,43,90.7,2017,6,Race,8,2,2019,northumberland_county,Region 3 – Northern Neck,Northumberland County,81.065,1,71.43,80,0,race,white
2016-2017,119,Norton City,White,Grade 6,47,54,87.04,2017,6,Race,8,2,2019,norton_city,Region 7 – Southwest,Norton City,NA,-1,87.04,85,0,race,white
2016-2017,67,Nottoway County,White,Grade 6,58,66,87.88,2017,6,Race,8,2,2019,nottoway_county,Region 8 – Southside,Nottoway County,74.1,1,60.32,73.43,0,race,white
2016-2017,68,Orange County,White,Grade 6,197,245,80.41,2017,6,Race,8,2,2019,orange_county,Region 4 – Northern Virginia,Orange County,76.1,1,71.79,78.41,0,race,white
2016-2017,69,Page County,White,Grade 6,169,227,74.45,2017,6,Race,8,2,2019,page_county,Region 4 – Northern Virginia,Page County,NA,-1,74.45,72.69,0,race,white
2016-2017,70,Patrick County,White,Grade 6,142,171,83.04,2017,6,Race,8,2,2019,patrick_county,Region 6 – Western Virginia,Patrick County,75.89500000000001,1,68.75,79.9,0,race,white
2016-2017,71,Pittsylvania County,White,Grade 6,385,471,81.74,2017,6,Race,8,2,2019,pittsylvania_county,Region 6 – Western Virginia,Pittsylvania County,75.265,1,68.79,78.45,0,race,white
2016-2017,142,Poquoson City,White,Grade 6,135,154,87.66,2017,6,Race,8,2,2019,poquoson_city,Region 2 – Tidewater,Poquoson City,NA,-1,87.66,88.24,0,race,white
2016-2017,121,Portsmouth City,White,Grade 6,145,175,82.86,2017,6,Race,8,2,2019,portsmouth_city,Region 2 – Tidewater,Portsmouth City,76.285,1,69.71,72.84,0,race,white
2016-2017,72,Powhatan County,White,Grade 6,231,276,83.7,2017,6,Race,8,2,2019,powhatan_county,Region 1 – Central Virginia,Powhatan County,57.065,1,30.43,80.06,0,race,white
2016-2017,73,Prince Edward County,White,Grade 6,44,54,81.48,2017,6,Race,8,2,2019,prince_edward_county,Region 8 – Southside,Prince Edward County,72.715,1,63.95,70.27,0,race,white
2016-2017,74,Prince George County,White,Grade 6,168,206,81.55,2017,6,Race,8,2,2019,prince_george_county,Region 1 – Central Virginia,Prince George County,78.72999999999999,1,75.91,79.81,0,race,white
2016-2017,75,Prince William County,White,Grade 6,1773,2035,87.13,2017,6,Race,8,2,2019,prince_william_county,Region 4 – Northern Virginia,Prince William County,78.94,1,70.75,77.12,0,race,white
2016-2017,77,Pulaski County,White,Grade 6,205,267,76.78,2017,6,Race,8,2,2019,pulaski_county,Region 7 – Southwest,Pulaski County,NA,-1,76.78,74.83,0,race,white
2016-2017,122,Radford City,White,Grade 6,81,89,91.01,2017,6,Race,8,2,2019,radford_city,Region 7 – Southwest,Radford City,79.88,1,68.75,86.07,0,race,white
2016-2017,78,Rappahannock County,White,Grade 6,37,46,80.43,2017,6,Race,8,2,2019,rappahannock_county,Region 4 – Northern Virginia,Rappahannock County,NA,-1,80.43,77.78,0,race,white
2016-2017,123,Richmond City,White,Grade 6,170,198,85.86,2017,6,Race,8,2,2019,richmond_city,Region 1 – Central Virginia,Richmond City,63.56,1,41.26,47.45,0,race,white
2016-2017,79,Richmond County,White,Grade 6,46,51,90.2,2017,6,Race,8,2,2019,richmond_county,Region 3 – Northern Neck,Richmond County,78.435,1,66.67,83.52,0,race,white
2016-2017,124,Roanoke City,White,Grade 6,259,325,79.69,2017,6,Race,8,2,2019,roanoke_city,Region 6 – Western Virginia,Roanoke City,73.18,1,66.67,72.48,0,race,white
2016-2017,80,Roanoke County,White,Grade 6,732,850,86.12,2017,6,Race,8,2,2019,roanoke_county,Region 6 – Western Virginia,Roanoke County,71.44,1,56.76,83.77,0,race,white
2016-2017,81,Rockbridge County,White,Grade 6,131,175,74.86,2017,6,Race,8,2,2019,rockbridge_county,Region 5 – Valley,Rockbridge County,NA,-1,74.86,73.23,0,race,white
2016-2017,82,Rockingham County,White,Grade 6,528,651,81.11,2017,6,Race,8,2,2019,rockingham_county,Region 5 – Valley,Rockingham County,73.055,1,65,79.76,0,race,white
2016-2017,83,Russell County,White,Grade 6,231,276,83.7,2017,6,Race,8,2,2019,russell_county,Region 7 – Southwest,Russell County,NA,-1,83.7,84.21,0,race,white
2016-2017,139,Salem City,White,Grade 6,187,217,86.18,2017,6,Race,8,2,2019,salem_city,Region 6 – Western Virginia,Salem City,82.375,1,78.57,82.48,0,race,white
2016-2017,84,Scott County,White,Grade 6,224,247,90.69,2017,6,Race,8,2,2019,scott_county,Region 7 – Southwest,Scott County,NA,-1,90.69,90.16,0,race,white
2016-2017,85,Shenandoah County,White,Grade 6,222,325,68.31,2017,6,Race,8,2,2019,shenandoah_county,Region 4 – Northern Virginia,Shenandoah County,62.725,1,57.14,64.85,0,race,white
2016-2017,86,Smyth County,White,Grade 6,256,336,76.19,2017,6,Race,8,2,2019,smyth_county,Region 7 – Southwest,Smyth County,NA,-1,76.19,76.14,0,race,white
2016-2017,87,Southampton County,White,Grade 6,89,99,89.9,2017,6,Race,8,2,2019,southampton_county,Region 2 – Tidewater,Southampton County,78.53,1,67.16,81.25,0,race,white
2016-2017,88,Spotsylvania County,White,Grade 6,860,1062,80.98,2017,6,Race,8,2,2019,spotsylvania_county,Region 3 – Northern Neck,Spotsylvania County,73.295,1,65.61,76.75,0,race,white
2016-2017,89,Stafford County,White,Grade 6,925,1054,87.76,2017,6,Race,8,2,2019,stafford_county,Region 3 – Northern Neck,Stafford County,80.385,1,73.01,82.39,0,race,white
2016-2017,126,Staunton City,White,Grade 6,94,130,72.31,2017,6,Race,8,2,2019,staunton_city,Region 5 – Valley,Staunton City,58.375,1,44.44,64.08,0,race,white
2016-2017,127,Suffolk City,White,Grade 6,257,297,86.53,2017,6,Race,8,2,2019,suffolk_city,Region 2 – Tidewater,Suffolk City,74.725,1,62.92,72.38,0,race,white
2016-2017,90,Surry County,White,Grade 6,16,21,76.19,2017,6,Race,8,2,2019,surry_county,Region 1 – Central Virginia,Surry County,76.33,-1,76.19,76.79,0,race,white
2016-2017,91,Sussex County,White,Grade 6,13,19,68.42,2017,6,Race,8,2,2019,sussex_county,Region 1 – Central Virginia,Sussex County,70.38,-1,68.42,71.23,0,race,white
2016-2017,92,Tazewell County,White,Grade 6,329,416,79.09,2017,6,Race,8,2,2019,tazewell_county,Region 7 – Southwest,Tazewell County,69.545,1,60,78.92,0,race,white
2016-2017,128,Virginia Beach City,White,Grade 6,2295,2540,90.35,2017,6,Race,8,2,2019,virginia_beach_city,Region 2 – Tidewater,Virginia Beach City,81.265,1,72.18,84.78,0,race,white
2016-2017,93,Warren County,White,Grade 6,259,325,79.69,2017,6,Race,8,2,2019,warren_county,Region 4 – Northern Virginia,Warren County,78.305,1,76.92,78.43,0,race,white
2016-2017,94,Washington County,White,Grade 6,390,480,81.25,2017,6,Race,8,2,2019,washington_county,Region 7 – Southwest,Washington County,NA,-1,81.25,81.35,0,race,white
2016-2017,130,Waynesboro City,White,Grade 6,91,124,73.39,2017,6,Race,8,2,2019,waynesboro_city,Region 5 – Valley,Waynesboro City,67.73,1,62.07,68.06,0,race,white
2016-2017,207,West Point,White,Grade 6,36,38,94.74,2017,6,Race,8,2,2019,west_point,Region 3 – Northern Neck,West Point,NA,-1,94.74,94,0,race,white
2016-2017,95,Westmoreland County,White,Grade 6,29,35,82.86,2017,6,Race,8,2,2019,westmoreland_county,Region 3 – Northern Neck,Westmoreland County,72.465,1,62.07,69.47,0,race,white
2016-2017,131,Williamsburg-James City County,White,Grade 6,445,512,86.91,2017,6,Race,8,2,2019,williamsburg-james_city_county,Region 2 – Tidewater,Williamsburg-James City County,70.72999999999999,1,54.55,77.69,0,race,white
2016-2017,132,Winchester City,White,Grade 6,115,142,80.99,2017,6,Race,8,2,2019,winchester_city,Region 4 – Northern Virginia,Winchester City,67.06,1,53.13,69.06,0,race,white
2016-2017,96,Wise County,White,Grade 6,348,397,87.66,2017,6,Race,8,2,2019,wise_county,Region 7 – Southwest,Wise County,NA,-1,87.66,86.76,0,race,white
2016-2017,97,Wythe County,White,Grade 6,244,286,85.31,2017,6,Race,8,2,2019,wythe_county,Region 7 – Southwest,Wythe County,78.37,1,71.43,84.47,0,race,white
2016-2017,98,York County,White,Grade 6,540,607,88.96,2017,6,Race,8,2,2019,york_county,Region 2 – Tidewater,York County,82.555,1,76.15,88,0,race,white
2017-2018,1,Accomack County,White,Grade 7,137,154,88.96,2018,7,Race,8,1,2019,accomack_county,Region 2 – Tidewater,Accomack County,70.72999999999999,1,52.5,72.63,0,race,white
2017-2018,2,Albemarle County,White,Grade 7,589,672,87.65,2018,7,Race,8,1,2019,albemarle_county,Region 5 – Valley,Albemarle County,72.39500000000001,1,57.14,81.44,0,race,white
2017-2018,101,Alexandria City,White,Grade 7,236,258,91.47,2018,7,Race,8,1,2019,alexandria_city,Region 4 – Northern Virginia,Alexandria City,80.22,1,68.97,69.89,0,race,white
2017-2018,3,Alleghany County,White,Grade 7,122,150,81.33,2018,7,Race,8,1,2019,alleghany_county,Region 6 – Western Virginia,Alleghany County,65.66499999999999,1,50,79.33,0,race,white
2017-2018,4,Amelia County,White,Grade 7,74,89,83.15,2018,7,Race,8,1,2019,amelia_county,Region 8 – Southside,Amelia County,70.885,1,58.62,76.38,0,race,white
2017-2018,5,Amherst County,White,Grade 7,180,211,85.31,2018,7,Race,8,1,2019,amherst_county,Region 5 – Valley,Amherst County,78.825,1,72.34,82.33,0,race,white
2017-2018,6,Appomattox County,White,Grade 7,91,99,91.92,2018,7,Race,8,1,2019,appomattox_county,Region 8 – Southside,Appomattox County,85.025,1,78.13,88.97,0,race,white
2017-2018,7,Arlington County,White,Grade 7,951,1003,94.82,2018,7,Race,8,1,2019,arlington_county,Region 4 – Northern Virginia,Arlington County,81.445,1,68.07,85.58,0,race,white
2017-2018,8,Augusta County,White,Grade 7,591,710,83.24,2018,7,Race,8,1,2019,augusta_county,Region 5 – Valley,Augusta County,74.955,1,66.67,82.32,0,race,white
2017-2018,9,Bath County,White,Grade 7,25,34,73.53,2018,7,Race,8,1,2019,bath_county,Region 5 – Valley,Bath County,NA,-1,73.53,73.68,0,race,white
2017-2018,10,Bedford County,White,Grade 7,453,571,79.33,2018,7,Race,8,1,2019,bedford_county,Region 5 – Valley,Bedford County,74.515,1,69.7,78.56,0,race,white
2017-2018,11,Bland County,White,Grade 7,58,66,87.88,2018,7,Race,8,1,2019,bland_county,Region 7 – Southwest,Bland County,87.88,1,87.88,87.88,0,race,white
2017-2018,12,Botetourt County,White,Grade 7,280,320,87.5,2018,7,Race,8,1,2019,botetourt_county,Region 6 – Western Virginia,Botetourt County,NA,-1,87.5,85.79,0,race,white
2017-2018,102,Bristol City,White,Grade 7,96,134,71.64,2018,7,Race,8,1,2019,bristol_city,Region 7 – Southwest,Bristol City,70.435,1,69.23,73.01,0,race,white
2017-2018,13,Brunswick County,White,Grade 7,19,25,76,2018,7,Race,8,1,2019,brunswick_county,Region 8 – Southside,Brunswick County,75.64500000000001,1,75.29,75.64500000000001,0,race,white
2017-2018,14,Buchanan County,White,Grade 7,156,196,79.59,2018,7,Race,8,1,2019,buchanan_county,Region 7 – Southwest,Buchanan County,79.59,1,79.59,79.59,0,race,white
2017-2018,15,Buckingham County,White,Grade 7,77,86,89.53,2018,7,Race,8,1,2019,buckingham_county,Region 8 – Southside,Buckingham County,78.38499999999999,1,67.24,80.67,0,race,white
2017-2018,103,Buena Vista City,White,Grade 7,42,66,63.64,2018,7,Race,8,1,2019,buena_vista_city,Region 5 – Valley,Buena Vista City,NA,-1,63.64,65.33,0,race,white
2017-2018,16,Campbell County,White,Grade 7,356,412,86.41,2018,7,Race,8,1,2019,campbell_county,Region 5 – Valley,Campbell County,77.13499999999999,1,67.86,84.06,0,race,white
2017-2018,17,Caroline County,White,Grade 7,127,159,79.87,2018,7,Race,8,1,2019,caroline_county,Region 3 – Northern Neck,Caroline County,67.715,1,55.56,73.29,0,race,white
2017-2018,18,Carroll County,White,Grade 7,220,272,80.88,2018,7,Race,8,1,2019,carroll_county,Region 7 – Southwest,Carroll County,NA,-1,80.88,81.17,0,race,white
2017-2018,19,Charles City County,White,Grade 7,15,19,78.95,2018,7,Race,8,1,2019,charles_city_county,Region 1 – Central Virginia,Charles City County,69.165,1,59.38,67.24,0,race,white
2017-2018,20,Charlotte County,White,Grade 7,76,96,79.17,2018,7,Race,8,1,2019,charlotte_county,Region 8 – Southside,Charlotte County,69.82,1,60.47,72.79,0,race,white
2017-2018,104,Charlottesville City,White,Grade 7,84,91,92.31,2018,7,Race,8,1,2019,charlottesville_city,Region 5 – Valley,Charlottesville City,76.345,1,60.38,74.13,0,race,white
2017-2018,136,Chesapeake City,White,Grade 7,1383,1496,92.45,2018,7,Race,8,1,2019,chesapeake_city,Region 2 – Tidewater,Chesapeake City,84.575,1,76.7,86.68,0,race,white
2017-2018,21,Chesterfield County,White,Grade 7,2089,2332,89.58,2018,7,Race,8,1,2019,chesterfield_county,Region 1 – Central Virginia,Chesterfield County,81.15,1,72.72,81.18,0,race,white
2017-2018,22,Clarke County,White,Grade 7,87,107,81.31,2018,7,Race,8,1,2019,clarke_county,Region 4 – Northern Virginia,Clarke County,NA,-1,81.31,81.88,0,race,white
2017-2018,202,Colonial Beach,White,Grade 7,21,25,84,2018,7,Race,8,1,2019,colonial_beach,Region 3 – Northern Neck,Colonial Beach,69.275,1,54.55,71.11,0,race,white
2017-2018,106,Colonial Heights City,White,Grade 7,115,133,86.47,2018,7,Race,8,1,2019,colonial_heights_city,Region 1 – Central Virginia,Colonial Heights City,78.235,1,70,83.33,0,race,white
2017-2018,107,Covington City,White,Grade 7,39,50,78,2018,7,Race,8,1,2019,covington_city,Region 6 – Western Virginia,Covington City,70.82,1,63.64,73.85,0,race,white
2017-2018,23,Craig County,White,Grade 7,33,41,80.49,2018,7,Race,8,1,2019,craig_county,Region 6 – Western Virginia,Craig County,80.49,1,80.49,80.49,0,race,white
2017-2018,24,Culpeper County,White,Grade 7,265,294,90.14,2018,7,Race,8,1,2019,culpeper_county,Region 4 – Northern Virginia,Culpeper County,79.485,1,68.83,84.25,0,race,white
2017-2018,25,Cumberland County,White,Grade 7,47,57,82.46,2018,7,Race,8,1,2019,cumberland_county,Region 8 – Southside,Cumberland County,79.465,1,76.47,81.63,0,race,white
